"outcomeId","outcomeName","targetPersons","comparatorPersons","targetExposures","comparatorExposures","targetDays","comparatorDays","totalOutcomes","mdrr","se","analysisId","negativeControl"
11666,"Renal Cell Carcinoma",5284,84551,5284,84551,9022122,173393475,84,3.66628536437341,0.463729955022862,9,"No"
11667,"Primary Liver Cancer",5284,84551,5284,84551,9022122,173393475,78,3.85057216315113,0.481235317186371,9,"No"
12022,"Multiple myeloma",5284,84551,5284,84551,9022122,173393475,141,2.72580769454004,0.357927640173088,9,"No"
12280,"Lymphoma",5284,84551,5284,84551,9022122,173393475,240,2.15675473428425,0.274346341172845,9,"No"
72404,"Joint stiffness",5204,84165,5204,84165,8895172,172647333,258,2.10604477403572,0.265853656314388,9,"No"
73754,"Restless legs",5133,84180,5133,84180,8783245,172656672,435,1.78094385524049,0.206006041076242,9,"No"
74174,"Urinary symptoms",5009,82386,5009,82386,8552531,169195427,3468,1.22711684787319,0.0730541374975507,9,"No"
74729,"Ganglion and cyst of synovium, tendon and bursa",5284,84551,5284,84551,9022122,173393475,0,Inf,Inf,9,"No"
75910,"Osteitis deformans",5258,84480,5258,84480,8977065,173252444,90,3.51624967690843,0.448815542289157,9,"No"
76737,"Hydrocele",5284,84551,5284,84551,9022122,173393475,0,Inf,Inf,9,"No"
77963,"Achilles tendinitis",5247,84085,5247,84085,8963673,172395617,308,1.97175368330051,0.242335423866843,9,"No"
136773,"Rosacea",5213,83466,5213,83466,8891185,171105614,548,1.66327179011388,0.181606690808415,9,"No"
137682,"Skin sensation disturbance",5275,84461,5275,84461,9002714,173211533,59,4.71438909577959,0.553479270076584,9,"No"
141825,"Simple goiter",5258,84354,5258,84354,8975238,172976790,106,3.18309623289544,0.413285440596932,9,"No"
196168,"Irregular periods",5284,84546,5284,84546,9022122,173382114,0,Inf,Inf,9,"No"
197675,"Incontinence of feces",5215,83976,5215,83976,8923093,172408846,963,1.46928386675078,0.137341928463806,9,"No"
198715,"Premature menopause",5284,84543,5284,84543,9022122,173373794,3,967.119476604578,2.45372583966377,9,"No"
199876,"Prolapse of female genital organs",5093,83233,5093,83233,8684133,170605760,822,1.52074536188066,0.149629781601633,9,"No"
201078,"Atrophic vaginitis",5133,83617,5133,83617,8762828,171362355,373,1.86156861820167,0.221809949386031,9,"No"
256449,"Bronchiectasis",5252,84328,5252,84328,8978095,172991568,302,1.98619286622972,0.244939782440469,9,"No"
313878,"Respiratory symptom",5129,83237,5129,83237,8745651,170636794,1165,1.42053829772167,0.125299020144898,9,"No"
375292,"Perforation of tympanic membrane",5250,84249,5250,84249,8959976,172792846,169,2.50202370035754,0.327350343882289,9,"No"
437827,"Pure hypercholesterolemia",4916,80613,4916,80613,8326635,165070829,736,1.55843169696417,0.158367480760004,9,"No"
437969,"Talipes planus",5266,84437,5266,84437,8987736,173147172,63,4.48854652141694,0.535956902197027,9,"No"
438720,"Mixed hyperlipidemia",5227,84161,5227,84161,8915323,172464431,130,2.84966125966639,0.37378842670527,9,"No"
439708,"Disorders of initiating and maintaining sleep",4877,82865,4877,82865,8381860,170278753,1008,1.46982077211678,0.137472337852595,9,"No"
441818,"Hemangioma",5281,84371,5281,84371,9015096,173008461,98,3.32668675635811,0.429034545460671,9,"No"
4021498,"Panic attack",5187,84108,5187,84108,8849027,172520702,322,1.94928291798677,0.238244250527781,9,"No"
4021807,"Interpersonal relationship finding",5281,84532,5281,84532,9013971,173348218,30,8.7957743623283,0.776086126526374,9,"No"
4059015,"Falls",5036,83335,5036,83335,8704611,171635941,2685,1.26267217839746,0.0832493869147382,9,"No"
4114472,"Ear problem",5244,84105,5244,84105,8956411,172504182,478,1.7249132550615,0.194595816244787,9,"No"
4142479,"Hyperthyroidism",5220,84121,5220,84121,8921523,172552889,282,2.03660320637303,0.253886021574858,9,"No"
4168212,"Restlessness and agitation",5267,84464,5267,84464,8996377,173277604,222,2.22538675180164,0.285527891986211,9,"No"
4168681,"Irritability and anger",5282,84542,5282,84542,9018998,173377511,8,67.3785365666235,1.50283721209531,9,"No"
4176908,"Snapping thumb syndrome",5262,84324,5262,84324,8991622,172882486,147,2.67174062943343,0.350776472829168,9,"No"
4185711,"Loss of sense of smell",5275,84451,5275,84451,9002070,173189637,71,4.1100960034031,0.504516649213196,9,"No"
4195873,"Breath smells unpleasant",5278,84479,5278,84479,9014353,173247293,39,6.732271427877,0.680654860056336,9,"No"
4216771,"Impotence",5193,82363,5193,82363,8859187,168825055,532,1.67235283927068,0.183550197704669,9,"No"
4264617,"Foot-drop",5269,84475,5269,84475,8999406,173262853,124,2.9160005115886,0.382002654307676,9,"No"
4311629,"Impaired glucose tolerance",5182,83599,5182,83599,8828254,171445064,1453,1.36820968191904,0.111902033778764,9,"No"
4344500,"Impingement syndrome of shoulder region",5270,84459,5270,84459,8993905,173197774,142,2.71805788271061,0.356911367573135,9,"No"
11666,"Renal Cell Carcinoma",3935,69526,3935,69526,5632433,116919455,55,5.35362300674415,0.598865784409546,10,"No"
11667,"Primary Liver Cancer",3935,69535,3935,69535,5632433,116935789,50,5.81107401903363,0.628132030173156,10,"No"
12022,"Multiple myeloma",3934,69520,3934,69520,5632154,116921498,103,3.40793893072375,0.437647829339919,10,"No"
12280,"Lymphoma",3934,69500,3934,69500,5630376,116886545,168,2.61149771197881,0.342635978571964,10,"No"
72404,"Joint stiffness",3872,69140,3872,69140,5544922,116324036,157,2.71213616808443,0.356132867862713,10,"No"
73754,"Restless legs",3812,69116,3812,69116,5464483,116281085,281,2.11889566911173,0.268025058567441,10,"No"
74174,"Urinary symptoms",3668,67027,3668,67027,5271601,112967763,2469,1.28944241249323,0.0907378740117469,10,"No"
74729,"Ganglion and cyst of synovium, tendon and bursa",3935,69544,3935,69544,5632433,116943119,0,Inf,Inf,10,"No"
75910,"Osteitis deformans",3909,69468,3909,69468,5599560,116812693,59,5.07384641511453,0.579707224760754,10,"No"
76737,"Hydrocele",3935,69544,3935,69544,5632433,116943119,0,Inf,Inf,10,"No"
77963,"Achilles tendinitis",3904,69042,3904,69042,5588813,116083087,192,2.4555356520643,0.320655934309059,10,"No"
136773,"Rosacea",3868,68428,3868,68428,5541195,115038942,340,1.96438324381025,0.240998674912255,10,"No"
137682,"Skin sensation disturbance",3927,69447,3927,69447,5619015,116780189,39,7.33917145015251,0.711463617782356,10,"No"
141825,"Simple goiter",3907,69342,3907,69342,5594904,116612335,66,4.63977248001283,0.54778463301203,10,"No"
196168,"Irregular periods",3935,69540,3935,69540,5632433,116934759,0,Inf,Inf,10,"No"
197675,"Incontinence of feces",3877,68906,3877,68906,5567095,116044865,655,1.628171259096,0.173993443033969,10,"No"
198715,"Premature menopause",3935,69535,3935,69535,5632433,116926056,2,6626.46695678358,3.14066015086578,10,"No"
199876,"Prolapse of female genital organs",3772,68174,3772,68174,5392259,114583536,509,1.7456548806016,0.198862333864364,10,"No"
201078,"Atrophic vaginitis",3800,68626,3800,68626,5440741,115333725,233,2.27768586720358,0.293819353303367,10,"No"
256449,"Bronchiectasis",3902,69300,3902,69300,5599068,116586549,210,2.36460499887126,0.307187153517859,10,"No"
313878,"Respiratory symptom",3783,68144,3783,68144,5404056,114619157,796,1.56024602864422,0.158782790764233,10,"No"
375292,"Perforation of tympanic membrane",3904,69236,3904,69236,5586675,116439204,96,3.56813999631689,0.45404453248819,10,"No"
437827,"Pure hypercholesterolemia",3616,65801,3616,65801,5152235,110681531,310,2.04638489795044,0.255596284336628,10,"No"
437969,"Talipes planus",3921,69415,3921,69415,5610082,116738732,35,8.20749477610381,0.751377370320691,10,"No"
438720,"Mixed hyperlipidemia",3882,69145,3882,69145,5557268,116199720,74,4.27017391313863,0.518154702594119,10,"No"
439708,"Disorders of initiating and maintaining sleep",3602,67923,3602,67923,5216511,114505905,599,1.687826028871,0.186837553258466,10,"No"
441818,"Hemangioma",3928,69365,3928,69365,5621849,116637536,67,4.57109583744076,0.54246180187916,10,"No"
4021498,"Panic attack",3836,69085,3836,69085,5489294,116210873,185,2.51596177659197,0.329333243416631,10,"No"
