"COHORT_DEFINITION_ID","COHORT_OF_INTEREST","T2DM","CENSOR","FULL_NAME","TARGET_COHORT","COMPARATOR_COHORT","OUTCOME_COHORT","NEGATIVE_CONTROL","EXPOSURE_COHORT","FU_STRAT_ITT_PP0DAY","COHORT_DESCRIPTION"
110,"Dapagliflozin","BROAD",60,"Dapagliflozin-BROAD-60",1,0,0,0,1,0,"COHORT 110:  This cohort is selected by looking for patient's first exposure to Dapagliflozin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the BROAD T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or on the index) The cohort censors at the first occurrence of either (a) a persistence window of 60 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Dapagliflozin)."
111,"Dapagliflozin","BROAD",90,"Dapagliflozin-BROAD-90",1,0,0,0,1,1,"COHORT 111:  This cohort is selected by looking for patient's first exposure to Dapagliflozin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the BROAD T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or on the index) The cohort censors at the first occurrence of either (a) a persistence window of 90 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Dapagliflozin)."
112,"Dapagliflozin","BROAD",120,"Dapagliflozin-BROAD-120",1,0,0,0,1,0,"COHORT 112:  This cohort is selected by looking for patient's first exposure to Dapagliflozin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the BROAD T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or on the index) The cohort censors at the first occurrence of either (a) a persistence window of 120 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Dapagliflozin)."
113,"Dapagliflozin","NARROW",60,"Dapagliflozin-NARROW-60",1,0,0,0,1,0,"COHORT 113:  This cohort is selected by looking for patient's first exposure to Dapagliflozin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the NARROW T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or any time after index, they are excluded if they took insulin monotherapy prior to exposure, and kept only if they were >= 40 years of age at first exposure) The cohort censors at the first occurrence of either (a) a persistence window of 60 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Dapagliflozin)."
114,"Dapagliflozin","NARROW",90,"Dapagliflozin-NARROW-90",1,0,0,0,1,1,"COHORT 114:  This cohort is selected by looking for patient's first exposure to Dapagliflozin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the NARROW T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or any time after index, they are excluded if they took insulin monotherapy prior to exposure, and kept only if they were >= 40 years of age at first exposure) The cohort censors at the first occurrence of either (a) a persistence window of 90 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Dapagliflozin)."
115,"Dapagliflozin","NARROW",120,"Dapagliflozin-NARROW-120",1,0,0,0,1,0,"COHORT 115:  This cohort is selected by looking for patient's first exposure to Dapagliflozin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the NARROW T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or any time after index, they are excluded if they took insulin monotherapy prior to exposure, and kept only if they were >= 40 years of age at first exposure) The cohort censors at the first occurrence of either (a) a persistence window of 120 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Dapagliflozin)."
120,"Empagliflozin","BROAD",60,"Empagliflozin-BROAD-60",1,0,0,0,1,0,"COHORT 120:  This cohort is selected by looking for patient's first exposure to Empagliflozin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the BROAD T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or on the index) The cohort censors at the first occurrence of either (a) a persistence window of 60 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Empagliflozin)."
121,"Empagliflozin","BROAD",90,"Empagliflozin-BROAD-90",1,0,0,0,1,1,"COHORT 121:  This cohort is selected by looking for patient's first exposure to Empagliflozin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the BROAD T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or on the index) The cohort censors at the first occurrence of either (a) a persistence window of 90 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Empagliflozin)."
122,"Empagliflozin","BROAD",120,"Empagliflozin-BROAD-120",1,0,0,0,1,0,"COHORT 122:  This cohort is selected by looking for patient's first exposure to Empagliflozin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the BROAD T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or on the index) The cohort censors at the first occurrence of either (a) a persistence window of 120 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Empagliflozin)."
123,"Empagliflozin","NARROW",60,"Empagliflozin-NARROW-60",1,0,0,0,1,0,"COHORT 123:  This cohort is selected by looking for patient's first exposure to Empagliflozin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the NARROW T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or any time after index, they are excluded if they took insulin monotherapy prior to exposure, and kept only if they were >= 40 years of age at first exposure) The cohort censors at the first occurrence of either (a) a persistence window of 60 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Empagliflozin)."
92,"Other AHAs","BROAD",120,"Other AHAs-BROAD-120",0,1,0,0,1,0,"COHORT 92:  This cohort is selected by looking for patient's first exposure to Other AHAs drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the BROAD T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or on the index) The cohort censors at the first occurrence of either (a) a persistence window of 120 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Other AHAs)."
93,"Other AHAs","NARROW",60,"Other AHAs-NARROW-60",0,1,0,0,1,0,"COHORT 93:  This cohort is selected by looking for patient's first exposure to Other AHAs drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the NARROW T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or any time after index, they are excluded if they took insulin monotherapy prior to exposure, and kept only if they were >= 40 years of age at first exposure) The cohort censors at the first occurrence of either (a) a persistence window of 60 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Other AHAs)."
94,"Other AHAs","NARROW",90,"Other AHAs-NARROW-90",0,1,0,0,1,1,"COHORT 94:  This cohort is selected by looking for patient's first exposure to Other AHAs drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the NARROW T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or any time after index, they are excluded if they took insulin monotherapy prior to exposure, and kept only if they were >= 40 years of age at first exposure) The cohort censors at the first occurrence of either (a) a persistence window of 90 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Other AHAs)."
95,"Other AHAs","NARROW",120,"Other AHAs-NARROW-120",0,1,0,0,1,0,"COHORT 95:  This cohort is selected by looking for patient's first exposure to Other AHAs drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the NARROW T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or any time after index, they are excluded if they took insulin monotherapy prior to exposure, and kept only if they were >= 40 years of age at first exposure) The cohort censors at the first occurrence of either (a) a persistence window of 120 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Other AHAs)."
100,"Canagliflozin","BROAD",60,"Canagliflozin-BROAD-60",1,0,0,0,1,0,"COHORT 100:  This cohort is selected by looking for patient's first exposure to Canagliflozin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the BROAD T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or on the index) The cohort censors at the first occurrence of either (a) a persistence window of 60 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Canagliflozin)."
101,"Canagliflozin","BROAD",90,"Canagliflozin-BROAD-90",1,0,0,0,1,1,"COHORT 101:  This cohort is selected by looking for patient's first exposure to Canagliflozin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the BROAD T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or on the index) The cohort censors at the first occurrence of either (a) a persistence window of 90 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Canagliflozin)."
102,"Canagliflozin","BROAD",120,"Canagliflozin-BROAD-120",1,0,0,0,1,0,"COHORT 102:  This cohort is selected by looking for patient's first exposure to Canagliflozin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the BROAD T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or on the index) The cohort censors at the first occurrence of either (a) a persistence window of 120 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Canagliflozin)."
103,"Canagliflozin","NARROW",60,"Canagliflozin-NARROW-60",1,0,0,0,1,0,"COHORT 103:  This cohort is selected by looking for patient's first exposure to Canagliflozin drugs.  If that exposure occurs after April 1, 2013, the patient has 365 days of observable time prior to the first exposure, and there is a diagnosis of Type II Diabetes (T2DM) prior to index the patient is kept. This cohort uses the NARROW T2DM definition (patients are excluded if they are already known to have Type I Diabetes (T1DM) and/or secondary diabetes mellitus (SDM) prior to or any time after index, they are excluded if they took insulin monotherapy prior to exposure, and kept only if they were >= 40 years of age at first exposure) The cohort censors at the first occurrence of either (a) a persistence window of 60 or (b) the individual switched to another drug (SGLT2i, SU, DPP-4i, TZDs, Insulin, Repaglinide, Nateglinide, GLP-1a, Metformin excluding concepts from the exposure drug of interest Canagliflozin)."
