"package","version"
"R","3.3.1"
"grDevices","3.3.1"
"graphics","3.3.1"
"utils","3.3.1"
"stats","3.3.1"
"bit","1.1-12"
"methods","3.3.1"
"tools","3.3.1"
"colorspace","1.2-6"
"curl","1.2"
"DBI","0.5"
"digest","0.6.10"
"fastmatch","1.0-4"
"ff","2.2-13"
"grid","3.3.1"
"jsonlite","1.0"
"magrittr","1.5"
"mime","0.5"
"openssl","0.9.4"
"R6","2.1.2"
"Rcpp","0.12.8"
"rJava","0.9-8"
"stringi","1.1.2"
"assertthat","0.1"
"bitops","1.0-6"
"dichromat","2.0-0"
"ffbase","0.12.3"
"git2r","0.15.0"
"httr","1.2.1"
"labeling","0.3"
"lattice","0.20-33"
"lazyeval","0.2.0"
"memoise","1.0.0"
"munsell","0.4.3"
"plyr","1.8.4"
"RColorBrewer","1.1-2"
"RJDBC","0.2-5"
"rstudioapi","0.6"
"SqlRender","1.2.0"
"stringr","1.0.0"
"whisker","0.3-2"
"withr","1.0.2"
"base64enc","0.1-3"
"codetools","0.2-14"
"DatabaseConnector","1.8.0"
"devtools","1.12.0"
"formatR","1.4"
"gtable","0.2.0"
"MASS","7.3-45"
"Matrix","1.2-6"
"RcppParallel","4.3.20"
"RCurl","1.95-4.8"
"reshape2","1.4.1"
"RJSONIO","1.3-0"
"scales","0.4.1"
"snow","0.4-1"
"splines","3.3.1"
"tibble","1.2"
"XML","3.98-1.4"
"aws.signature","0.2.5"
"Cyclops","1.2.3"
"FeatureExtraction","1.0.2"
"ggplot2","2.2.0"
"OhdsiRTools","1.2.1"
"pROC","1.8"
"survival","2.39-4"
"uuid","0.1-2"
"xml2","1.0.0"
"CohortMethod","2.1.1"
"EmpiricalCalibration","1.2.0"
"MethodEvaluation","0.0.3"
"OhdsiSharing","0.1.1"
"LargeScalePopEst","0.1.0"
