study,conceptId,name
SSRIs,73008,Enthesopathy
SSRIs,441788,Human papilloma virus infection
SSRIs,4110709,Benign epithelial neoplasm of skin
SSRIs,75354,Osteochondropathy
SSRIs,4134455,Mononeuropathy
SSRIs,141932,Seborrheic keratosis
SSRIs,75576,Irritable bowel syndrome
SSRIs,196456,Gallstone
SSRIs,4050747,Fracture of upper limb
SSRIs,4215978,Onychomycosis
SSRIs,438531,Chondromalacia
SSRIs,4249170,Epicondylitis
SSRIs,4087647,Rectal mass
SSRIs,4234533,Tonsillitis
SSRIs,441818,Hemangioma
SSRIs,443285,Lesion of cervix
SSRIs,139099,Ingrowing nail
SSRIs,373478,Presbyopia
SSRIs,4112731,Polyp of intestine
SSRIs,378424,Astigmatism
SSRIs,134461,Tietze's disease
SSRIs,443767,Diabetic oculopathy
SSRIs,4169984,Scar
SSRIs,74855,Genital herpes simplex
SSRIs,140480,Impetigo
SSRIs,381581,Chalazion
SSRIs,4248870,Visceroptosis
SSRIs,436634,Acariasis
SSRIs,4291005,Viral hepatitis
SSRIs,4030042,Toxic goiter
SSRIs,4345472,Epstein-Barr virus disease
SSRIs,81893,Ulcerative colitis
SSRIs,434926,Iridocyclitis
SSRIs,200775,Endometrial hyperplasia
SSRIs,201606,Crohn's disease
SSRIs,440638,Lyme disease
SSRIs,254443,Sjogren's syndrome
SSRIs,374923,Bell's palsy
SSRIs,4156115,Malignant neoplasm of endocrine gland
SSRIs,380038,Viral conjunctivitis
SSRIs,77650,Aseptic necrosis of bone
SSRIs,441589,Endocarditis
SSRIs,196236,Septic shock
SSRIs,438688,Sarcoidosis
SSRIs,437082,Ankylosing spondylitis
SSRIs,4254542,Hypopituitarism
SSRIs,192606,Paraplegia
SSRIs,260134,Croup
SSRIs,253954,Pulmonary tuberculosis
SSRIs,4038835,Hodgkin's disease
SSRIs,380688,Hypoglycemic coma
SSRIs,432595,Amyloidosis
