"package","version"
"R","3.4.4"
"grDevices","3.4.4"
"graphics","3.4.4"
"utils","3.4.4"
"stats","3.4.4"
"methods","3.4.4"
"tools","3.4.4"
"assertthat","0.2.0"
"crayon","1.3.4"
"grid","3.4.4"
"bit","1.1-14"
"cli","1.0.0"
"colorspace","1.3-2"
"glue","1.2.0"
"lattice","0.20-35"
"magrittr","1.5"
"R.methodsS3","1.7.1"
"Rcpp","0.12.17"
"rlang","0.2.0"
"stringi","1.1.7"
"utf8","1.1.3"
"curl","3.2"
"dichromat","2.0-0"
"digest","0.6.15"
"fastmatch","1.1-0"
"ff","2.2-14"
"jsonlite","1.5"
"labeling","0.3"
"Matrix","1.2-12"
"mime","0.5"
"munsell","0.4.3"
"nlme","3.1-131.1"
"openssl","1.0.1"
"pillar","1.2.2"
"plyr","1.8.4"
"R.oo","1.22.0"
"R6","2.2.2"
"RColorBrewer","1.1-2"
"rJava","0.9-10"
"stringr","1.3.1"
"triebeard","0.3.0"
"viridisLite","0.3.0"
"DatabaseConnectorJars","1.0.0"
"DBI","1.0.0"
"ffbase","0.12.3"
"git2r","0.21.0"
"gtable","0.2.0"
"httr","1.3.1"
"lazyeval","0.2.1"
"MASS","7.3-49"
"memoise","1.1.0"
"mgcv","1.8-23"
"R.utils","2.6.0"
"reshape2","1.4.3"
"rstudioapi","0.7"
"scales","0.5.0"
"splines","3.4.4"
"SqlRender","1.5.0"
"tibble","1.4.2"
"urltools","1.7.0"
"whisker","0.3-2"
"withr","2.1.2"
"backports","1.1.2"
"codetools","0.2-15"
"DatabaseConnector","2.1.3"
"devtools","1.13.5"
"evaluate","0.10.1"
"formatR","1.5"
"ggplot2","3.0.0"
"gridExtra","2.3"
"highr","0.6"
"mailR","0.4.1"
"markdown","0.8"
"RcppParallel","4.4.0"
"RJSONIO","1.3-0"
"snow","0.4-2"
"survival","2.41-3"
"XML","3.98-1.11"
"yaml","2.1.19"
"base64enc","0.1-3"
"Cyclops","1.3.4"
"EmpiricalCalibration","1.4.0"
"FeatureExtraction","2.1.4"
"htmltools","0.3.6"
"knitr","1.20"
"meta","4.9-1"
"OhdsiRTools","1.5.5"
"rprojroot","1.3-2"
"XLConnectJars","0.2-15"
"xlsxjars","0.6.1"
"CohortMethod","2.6.2"
"EvidenceSynthesis","0.0.4"
"rmarkdown","1.9"
"XLConnect","0.2-15"
"xlsx","0.5.7"
"AHAsAcutePancreatitis","1.2.0"
