"package","version"
"R","3.3.1"
"grDevices","3.3.1"
"graphics","3.3.1"
"utils","3.3.1"
"stats","3.3.1"
"bit","1.1-12"
"methods","3.3.1"
"tools","3.3.1"
"colorspace","1.2-6"
"DBI","0.5"
"fastmatch","1.0-4"
"ff","2.2-13"
"grid","3.3.1"
"magrittr","1.5"
"Rcpp","0.12.8"
"rJava","0.9-8"
"stringi","1.1.2"
"assertthat","0.1"
"curl","1.2"
"dichromat","2.0-0"
"digest","0.6.10"
"ffbase","0.12.3"
"jsonlite","1.0"
"labeling","0.3"
"lattice","0.20-33"
"lazyeval","0.2.0"
"mime","0.5"
"munsell","0.4.3"
"openssl","0.9.4"
"plyr","1.8.4"
"R6","2.1.2"
"RColorBrewer","1.1-2"
"RJDBC","0.2-5"
"SqlRender","1.2.0"
"stringr","1.0.0"
"base64enc","0.1-3"
"bitops","1.0-6"
"DatabaseConnector","1.8.0"
"evaluate","0.9"
"formatR","1.4"
"git2r","0.15.0"
"gtable","0.2.0"
"highr","0.6"
"httr","1.2.1"
"markdown","0.7.7"
"MASS","7.3-45"
"Matrix","1.2-6"
"memoise","1.0.0"
"RcppParallel","4.3.20"
"reshape2","1.4.1"
"rstudioapi","0.6"
"scales","0.4.1"
"splines","3.3.1"
"tibble","1.2"
"whisker","0.3-2"
"withr","1.0.2"
"yaml","2.1.13"
"aws.signature","0.2.5"
"caTools","1.17.1"
"codetools","0.2-14"
"Cyclops","1.2.3"
"devtools","1.12.0"
"FeatureExtraction","1.0.2"
"ggplot2","2.2.0"
"htmltools","0.3.5"
"knitr","1.14"
"RCurl","1.95-4.8"
"RJSONIO","1.3-0"
"snow","0.4-1"
"survival","2.39-4"
"uuid","0.1-2"
"XML","3.98-1.4"
"xml2","1.0.0"
"CohortMethod","2.1.1"
"EmpiricalCalibration","1.2.0"
"OhdsiRTools","1.2.1"
"OhdsiSharing","0.1.1"
"rmarkdown","1.1"
"KeppraAngioedema","0.1.3"
