"conceptId","sourceCode","vocabularyId","description"
320347,"B620800","Read","Nodular lymphoma of lymph nodes of multiple sites"
132841,"B62y800","Read","Malignant lymphoma NOS of lymph nodes of multiple sites"
4003830,"ByuDC00","Read","[X]Diffuse non-Hodgkin's lymphoma, unspecified"
4041800,"B602z00","Read","Burkitt's lymphoma NOS"
4003830,"ByuD200","Read","[X]Other types of diffuse non-Hodgkin's lymphoma"
4003830,"B62F.00","Read","Nonfollicular lymphoma"
440957,"B60y.00","Read","Other specified reticulosarcoma or lymphosarcoma"
432571,"B62y000","Read","Malignant lymphoma NOS of unspecified site"
4149840,"B620000","Read","Nodular lymphoma of unspecified site"
192560,"B62y500","Read","Malignant lymphoma NOS of lymph nodes of inguinal region and lower limb"
198374,"B620700","Read","Nodular lymphoma of spleen"
432571,"B62y.00","Read","Malignant lymphoma NOS"
432574,"B627A00","Read","Diffuse non-Hodgkin's large cell lymphoma"
4079289,"B627000","Read","Follicular non-Hodgkin's small cleaved cell lymphoma"
4098597,"C333011","Read","Waldenstrom macroglobulinaemia"
4173973,"B62F000","Read","Small cell B-cell lymphoma"
4001328,"B62F200","Read","Lymphoblastic (diffuse) lymphoma"
40481522,"B627G00","Read","Mediastinal (thymic) large B-cell lymphoma"
40482893,"B627F00","Read","Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue"
200662,"B601z00","Read","Lymphosarcoma NOS"
432571,"B62x.00","Read","Malignant lymphoma otherwise specified"
37017595,"A789611","Read","HIV disease resulting in Burkitt lymphoma"
4096969,"B627800","Read","Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse)"
4147411,"B628.00","Read","Follicular lymphoma"
4173976,"B627911","Read","Maltoma"
440957,"B60..00","Read","Lymphosarcoma and reticulosarcoma"
432571,"B62z800","Read","Unspecified malignant neoplasm of lymphoid and histiocytic tissue of lymph nodes of multiple sites"
432571,"B62yz00","Read","Malignant lymphoma NOS"
432571,"B62z100","Read","Unspecified malignant neoplasm of lymphoid and histiocytic tissue of lymph nodes of head, face and neck"
432571,"B62z400","Read","Unspecified malignant neoplasm of lymphoid and histiocytic tissue of lymph nodes of axilla and upper limb"
432571,"B62z000","Read","Unspecified malignant neoplasm of lymphoid and histiocytic tissue of unspecified site"
440957,"B60z.00","Read","Reticulosarcoma or lymphosarcoma NOS"
200662,"B601.00","Read","Lymphosarcoma"
4091768,"B602200","Read","Burkitt's lymphoma of intrathoracic lymph nodes"
196055,"B602500","Read","Burkitt's lymphoma of lymph nodes of inguinal region and lower limb"
200662,"B601000","Read","Lymphosarcoma of unspecified site"
135194,"B601200","Read","Lymphosarcoma of intrathoracic lymph nodes"
195201,"B601700","Read","Lymphosarcoma of spleen"
4038838,"B62F.11","Read","Non-follicular lymphoma"
432571,"B62z.00","Read","Malignant neoplasms of lymphoid and histiocytic tissue NOS"
434592,"B627W00","Read","Unspecified B-cell non-Hodgkin's lymphoma"
318697,"B601800","Read","Lymphosarcoma of lymph nodes of multiple sites"
40484012,"AyuC611","Read","[X]HIV disease resulting in other non-Hodgkin lymphoma"
44808028,"B628200","Read","Follicular lymphoma grade 3"
4147411,"B628700","Read","Other types of follicular lymphoma"
40484012,"AyuC600","Read","[X]HIV disease resulting in other non-Hodgkin's lymphoma"
4038838,"ByuD300","Read","[X]Other specified types of non-Hodgkin's lymphoma"
195195,"B62y600","Read","Malignant lymphoma NOS of intrapelvic lymph nodes"
198707,"B620500","Read","Nodular lymphoma of lymph nodes of inguinal region and lower limb"
4001328,"B627700","Read","Diffuse non-Hodgkin's lymphoblastic (diffuse) lymphoma"
4094543,"B627300","Read","Diffuse non-Hodgkin's small cell (diffuse) lymphoma"
4147411,"B627B00","Read","Other types of follicular non-Hodgkin's lymphoma"
4121330,"B627D00","Read","Diffuse non-Hodgkin's centroblastic lymphoma"
44808122,"B627E00","Read","Diffuse large B-cell lymphoma"
40484012,"A789711","Read","HIV disease resulting in other types of non-Hodgkin lymphoma"
4173976,"B627900","Read","Mucosa-associated lymphoma"
37017595,"A789600","Read","HIV disease resulting in Burkitt's lymphoma"
4149840,"B620z00","Read","Nodular lymphoma NOS"
4111027,"BBmJ.00","Read","[M] Angioendotheliomatosis"
432571,"B62z200","Read","Unspecified malignant neoplasm of lymphoid and histiocytic tissue of intrathoracic lymph nodes"
432571,"B62z500","Read","Unspecified malignant neoplasm of lymphoid and histiocytic tissue of lymph nodes of inguinal region and lower limb"
4097560,"B602300","Read","Burkitt's lymphoma of intra-abdominal lymph nodes"
4041800,"B602.00","Read","Burkitt's lymphoma"
197228,"B601300","Read","Lymphosarcoma of intra-abdominal lymph nodes"
198702,"B601500","Read","Lymphosarcoma of lymph nodes of inguinal region and lower limb"
4003830,"B627X00","Read","Diffuse non-Hodgkin's lymphoma, unspecified"
44808015,"B628000","Read","Follicular lymphoma grade 1"
44808117,"B628300","Read","Follicular lymphoma grade 3a"
4301668,"B628600","Read","Cutaneous follicle centre lymphoma"
4147411,"ByuD100","Read","[X]Other types of follicular non-Hodgkin's lymphoma"
200338,"B620300","Read","Nodular lymphoma of intra-abdominal lymph nodes"
200349,"B62y300","Read","Malignant lymphoma NOS of intra-abdominal lymph nodes"
4003832,"B627600","Read","Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma"
4097572,"B627100","Read","Follicular non-Hodgkin's mixed small cleaved and large cell lymphoma"
4147411,"B627C00","Read","Follicular non-Hodgkin's lymphoma"
40481901,"B62F100","Read","Mantle cell lymphoma"
40484012,"A789700","Read","HIV disease resulting in other types of non-Hodgkin's lymphoma"
432571,"B62z600","Read","Unspecified malignant neoplasm of lymphoid and histiocytic tissue of intrapelvic lymph nodes"
4098597,"C333000","Read","Waldenstrom's macroglobulinaemia"
438380,"B601100","Read","Lymphosarcoma of lymph nodes of head, face and neck"
4038838,"B627.11","Read","Non-Hodgkin lymphoma"
44814156,"B628100","Read","Follicular lymphoma grade 2"
40486171,"B628500","Read","Diffuse follicle centre lymphoma"
200343,"B62y700","Read","Malignant lymphoma NOS of spleen"
434592,"ByuDE00","Read","[X]Unspecified B-cell non-Hodgkin's lymphoma"
4091916,"B627400","Read","Diffuse non-Hodgkin's small cleaved cell (diffuse) lymphoma"
4149840,"B620.00","Read","Nodular lymphoma (Brill - Symmers disease)"
4147411,"B627C11","Read","Follicular lymphoma NOS"
4038838,"ByuDF11","Read","[X]Non-Hodgkin's lymphoma NOS"
44808118,"B628400","Read","Follicular lymphoma grade 3b"
435207,"B620100","Read","Nodular lymphoma of lymph nodes of head, face and neck"
435753,"B62y200","Read","Malignant lymphoma NOS of intrathoracic lymph nodes"
4094544,"B627500","Read","Diffuse non-Hodgkin's mixed small and large cell (diffuse) lymphoma"
435492,"B620200","Read","Nodular lymphoma of intrathoracic lymph nodes"
437505,"B620400","Read","Nodular lymphoma of lymph nodes of axilla and upper limb"
441521,"B62y400","Read","Malignant lymphoma NOS of lymph nodes of axilla and upper limb"
438698,"B62y100","Read","Malignant lymphoma NOS of lymph nodes of head, face and neck"
4038838,"B627.00","Read","Non - Hodgkin's lymphoma"
4038838,"ByuDF00","Read","[X]Non-Hodgkin's lymphoma, unspecified type"
