"targetId","targetName","comparatorId","comparatorName","nestingId","nestingName","outcomeId","outcomeName","type"
938044,"brinzolamide",932815,"Levobunolol",35606985,"Glaucoma",2,"Acute pancreatitis","Exposure control"
954819,"cevimeline",945286,"Pilocarpine",35606954,"Sjogren's syndrome",2,"Acute pancreatitis","Exposure control"
795113,"Chlorzoxazone",704943,"Methocarbamol",36516951,"Back pain",2,"Acute pancreatitis","Exposure control"
1350310,"cilostazol",1315865,"fondaparinux",37622411,"Phlebosclerosis",2,"Acute pancreatitis","Exposure control"
1517070,"desmopressin",918906,"oxybutynin",36718449,"Urinary incontinence",2,"Acute pancreatitis","Exposure control"
1140088,"Dyphylline",1110942,"omalizumab",37203741,"Bronchospasm and obstruction",2,"Acute pancreatitis","Exposure control"
943634,"epinastine",1136422,"levocetirizine",36009773,"Rhinitis allergic",2,"Acute pancreatitis","Exposure control"
757352,"Eszopiclone",704599,"Triazolam",436962,"Insomnia",2,"Acute pancreatitis","Exposure control"
19027958,"fesoterodine",1517070,"desmopressin",36718449,"Urinary incontinence",2,"Acute pancreatitis","Exposure control"
1588712,"Follicle Stimulating Hormone",1536743,"ganirelix",37119655,"Infertility female",2,"Acute pancreatitis","Exposure control"
1784444,"Ivermectin",922868,"Permethrin",36110310,"Arthropod infestation",2,"Acute pancreatitis","Exposure control"
1589795,"Luteinizing Hormone",1563600,"Chorionic Gonadotropin",37119655,"Infertility female",2,"Acute pancreatitis","Exposure control"
915855,"olopatadine",943634,"epinastine",35607032,"Conjunctivitis allergic",2,"Acute pancreatitis","Exposure control"
1110942,"omalizumab",1105775,"Aminophylline",37203741,"Bronchospasm and obstruction",2,"Acute pancreatitis","Exposure control"
19025115,"picosulfate sodium",987366,"lubiprostone",35702117,"Gastrointestinal motility and defaecation conditions",2,"Acute pancreatitis","Exposure control"
19025115,"picosulfate sodium",924939,"Bisacodyl",35702117,"Gastrointestinal motility and defaecation conditions",2,"Acute pancreatitis","Exposure control"
945286,"Pilocarpine",938044,"brinzolamide",35606985,"Glaucoma",2,"Acute pancreatitis","Exposure control"
40163718,"prasugrel",1315865,"fondaparinux",37622411,"Phlebosclerosis",2,"Acute pancreatitis","Exposure control"
951279,"Prilocaine",732893,"Bupivacaine",438112,"Neoplastic disease",2,"Acute pancreatitis","Exposure control"
781182,"ramelteon",965748,"Scopolamine",436962,"Insomnia",2,"Acute pancreatitis","Exposure control"
1136487,"ropivacaine",732893,"Bupivacaine",37522270,"Surgery",2,"Acute pancreatitis","Exposure control"
19012925,"silodosin",989482,"Dutasteride",37119607,"Benign prostatic hyperplasia",2,"Acute pancreatitis","Exposure control"
1336926,"tadalafil",918906,"oxybutynin",37119607,"Benign prostatic hyperplasia",2,"Acute pancreatitis","Exposure control"
1341238,"Terazosin",989482,"Dutasteride",37119607,"Benign prostatic hyperplasia",2,"Acute pancreatitis","Exposure control"
1311276,"vardenafil",1336926,"tadalafil",36919202,"Sexual dysfunction",2,"Acute pancreatitis","Exposure control"
742185,"atomoxetine",705944,"Methylphenidate",36918919,"Atypical attention deficit syndrome",3,"Inflammatory Bowel Disease","Exposure control"
1338005,"Bisoprolol",1386957,"Labetalol",37622529,"Hypertension",3,"Inflammatory Bowel Disease","Exposure control"
915542,"brimonidine",717136,"Neostigmine",35606985,"Glaucoma",3,"Inflammatory Bowel Disease","Exposure control"
1598819,"Clomiphene",1563600,"Chorionic Gonadotropin",37119655,"Infertility female",3,"Inflammatory Bowel Disease","Exposure control"
981709,"dorzolamide",915542,"brimonidine",35606985,"Glaucoma",3,"Inflammatory Bowel Disease","Exposure control"
