conceptId,name
440374,Obsessive-compulsive disorder
139057,Disorder of oral soft tissues
434008,White blood cell disorder
319843,Mitral valve disorder
320136,Disorder of respiratory system
193016,Cystic disease of kidney
378161,Disorder of ear
255891,Lupus erythematosus
314054,Aortic valve disorder
432876,Bipolar I disorder
376382,Tension-type headache
378752,Corneal opacity
432251,Disease caused by parasite
442077,Anxiety disorder
435783,Schizophrenia
441589,Endocarditis
438688,Sarcoidosis
444100,Mood disorder
443617,Conduct disorder
134681,Diffuse spasm of esophagus
31057,Disorder of pharynx
138225,Disorder of sebaceous gland
257007,Allergic rhinitis
257012,Chronic sinusitis
