targetId,targetName,comparatorId,comparatorName,outcomeId,outcomeName,type
99321,Alendronate,99322,Raloxifene,4305080,Abnormal breathing,Outcome
99321,Alendronate,99322,Raloxifene,45765647,Acquired brain injury,Outcome
99321,Alendronate,99322,Raloxifene,4217633,Acrodermatitis,Outcome
99321,Alendronate,99322,Raloxifene,198809,Acute cholecystitis,Outcome
99321,Alendronate,99322,Raloxifene,4133026,Acute skin disorder,Outcome
99321,Alendronate,99322,Raloxifene,440083,Acute stress disorder,Outcome
99321,Alendronate,99322,Raloxifene,376981,Amblyopia,Outcome
99321,Alendronate,99322,Raloxifene,4207240,Anemia due to intrinsic red cell abnormality,Outcome
99321,Alendronate,99322,Raloxifene,4312008,Anemia due to substance,Outcome
99321,Alendronate,99322,Raloxifene,4080321,Animal-induced dermatosis,Outcome
99321,Alendronate,99322,Raloxifene,4145825,Anorectal disorder,Outcome
99321,Alendronate,99322,Raloxifene,4081007,Anterior chamber finding,Outcome
99321,Alendronate,99322,Raloxifene,314054,Aortic valve disorder,Outcome
99321,Alendronate,99322,Raloxifene,137829,Aplastic anemia,Outcome
99321,Alendronate,99322,Raloxifene,440448,Appendicitis,Outcome
99321,Alendronate,99322,Raloxifene,261880,Atelectasis,Outcome
99321,Alendronate,99322,Raloxifene,4281109,Autoimmune thyroiditis,Outcome
99321,Alendronate,99322,Raloxifene,4193166,Bacterial gastrointestinal infectious disease,Outcome
99321,Alendronate,99322,Raloxifene,4224118,Bladder dysfunction,Outcome
99321,Alendronate,99322,Raloxifene,378425,Blepharitis,Outcome
99321,Alendronate,99322,Raloxifene,256722,Bronchopneumonia,Outcome
99321,Alendronate,99322,Raloxifene,442013,Burn,Outcome
99321,Alendronate,99322,Raloxifene,197028,Calculus of lower urinary tract,Outcome
99321,Alendronate,99322,Raloxifene,314658,Cardiomegaly,Outcome
99321,Alendronate,99322,Raloxifene,374384,Cerebral ischemia,Outcome
99321,Alendronate,99322,Raloxifene,4189855,Chronic arthropathy,Outcome
99321,Alendronate,99322,Raloxifene,4134586,Chronic heart disease,Outcome
99321,Alendronate,99322,Raloxifene,140057,Chronic leukemia,Outcome
99321,Alendronate,99322,Raloxifene,4304484,Chronic myeloproliferative disorder,Outcome
99321,Alendronate,99322,Raloxifene,440704,Chronic pain syndrome,Outcome
99321,Alendronate,99322,Raloxifene,4104204,Complete bilateral paralysis,Outcome
99321,Alendronate,99322,Raloxifene,312723,Congenital heart disease,Outcome
99321,Alendronate,99322,Raloxifene,4080664,Corneal endothelium finding,Outcome
99321,Alendronate,99322,Raloxifene,193016,Cystic disease of kidney,Outcome
99321,Alendronate,99322,Raloxifene,441267,Cystic fibrosis,Outcome
99321,Alendronate,99322,Raloxifene,432590,Delusional disorder,Outcome
99321,Alendronate,99322,Raloxifene,375801,Demyelinating disease of central nervous system,Outcome
99321,Alendronate,99322,Raloxifene,443767,Diabetic oculopathy,Outcome
99321,Alendronate,99322,Raloxifene,436641,Disease due to Arthropod,Outcome
99321,Alendronate,99322,Raloxifene,4225726,Disease due to Gammaherpesvirinae,Outcome
99321,Alendronate,99322,Raloxifene,4023319,Disease due to Paramyxoviridae,Outcome
99321,Alendronate,99322,Raloxifene,433694,Disease due to Retroviridae,Outcome
99321,Alendronate,99322,Raloxifene,22350,Edema of larynx,Outcome
99321,Alendronate,99322,Raloxifene,4157036,Encephalomyelopathy,Outcome
99321,Alendronate,99322,Raloxifene,4101350,Finding of bowel continence,Outcome
99321,Alendronate,99322,Raloxifene,4029295,Folliculitis,Outcome
99321,Alendronate,99322,Raloxifene,196456,Gallstone,Outcome
99321,Alendronate,99322,Raloxifene,4007453,Gammopathy,Outcome
