label,analysisId,covariateIds
Age group,3,
Gender female,1,8532001
Comorbidities,210,"4006969210,4212540210,432867210,316866210,433736210,255848210,4030518210,81902210"
Comedications,410,"21601782410,21602796410,21603932410,21601744410,21601461410,21603248410,21601853410"
Prior specific AHAs,410,"1529331410,1530014410,44816332410,43013884410,19035533410,43526465410,19033498410,1594973410,44785829410,45774435410,45774751410,1583722410,19001409410,19059796410,1597756410,1560171410,19097821410,1559684410,19001441410,1000979410,35602717410,1516976410,1502905410,1550023410,1567198410,1544838410,40239216410,40170911410,44506754410,1503297410,1510202410,1502826410,19033909410,1525215410,1517998410,1596977410,1516766410,1547504410,40166035410,1580747410,1502809410,1502855410,19042191410,1515249410,19122137410"
Any prior AHA use,998,2998
AHA therapy at index,996,"500001,500002,500003"
Prior DKA IP/ER,999,200999
Prior DKA IP,999,201999
Charlson comorbidity index (mean),901,1901
CHADS2Vasc (mean),903,1903
DCSI (mean),902,1902

