"package","version"
"R","3.4.0"
"grDevices","3.4.0"
"graphics","3.4.0"
"utils","3.4.0"
"stats","3.4.0"
"methods","3.4.0"
"tools","3.4.0"
"assertthat","0.2.0"
"crayon","1.3.4"
"bit","1.1-12"
"cli","1.0.0"
"colorspace","1.3-2"
"glue","1.2.0"
"grid","3.4.0"
"magrittr","1.5"
"R.methodsS3","1.7.1"
"Rcpp","0.12.15"
"rlang","0.2.0"
"stringi","1.1.6"
"utf8","1.1.3"
"curl","3.1"
"dichromat","2.0-0"
"digest","0.6.15"
"fastmatch","1.1-0"
"ff","2.2-13"
"jsonlite","1.5"
"labeling","0.3"
"lattice","0.20-35"
"mime","0.5"
"munsell","0.4.3"
"openssl","1.0"
"pillar","1.1.0"
"plyr","1.8.4"
"R.oo","1.21.0"
"R6","2.2.2"
"RColorBrewer","1.1-2"
"rJava","0.9-9"
"stringr","1.3.0"
"viridisLite","0.3.0"
"ffbase","0.12.3"
"git2r","0.21.0"
"gtable","0.2.0"
"httr","1.3.1"
"lazyeval","0.2.1"
"MASS","7.3-48"
"Matrix","1.2-12"
"memoise","1.1.0"
"R.utils","2.6.0"
"reshape2","1.4.3"
"rstudioapi","0.7"
"scales","0.5.0"
"splines","3.4.0"
"SqlRender","1.4.8"
"tibble","1.4.2"
"whisker","0.3-2"
"withr","2.1.1"
"backports","1.1.2"
"codetools","0.2-15"
"DatabaseConnector","2.0.4"
"DBI","0.7"
"devtools","1.13.5"
"evaluate","0.10.1"
"formatR","1.5"
"ggplot2","2.2.1"
"gridExtra","2.3"
"highr","0.6"
"mailR","0.4.1"
"markdown","0.8"
"RcppParallel","4.3.20.2"
"RJSONIO","1.3-0"
"snow","0.4-2"
"survival","2.41-3"
"XML","3.98-1.10"
"yaml","2.1.16"
"base64enc","0.1-3"
"Cyclops","1.3.0"
"EmpiricalCalibration","1.3.6"
"FeatureExtraction","2.1.0"
"htmltools","0.3.6"
"knitr","1.20"
"meta","4.9-0"
"OhdsiRTools","1.5.1"
"RJDBC","0.2-7"
"rprojroot","1.3-2"
"XLConnectJars","0.2-14"
"xlsxjars","0.6.1"
"CohortMethod","2.6.0"
"EvidenceSynthesis","0.0.1"
"rmarkdown","1.8"
"XLConnect","0.2-14"
"xlsx","0.5.7"
"AhasHfBkleAmputation","1.2.0"
