"comparatorId","comparatorName","targetId","targetName","outcomeIds","outcomeNames","excludedCovariateConceptIds","targetDrug","comparatorDrug","establishedCvd","priorExposure","censorAtSwitch"
5363,"new users of empagliflozin",5357,"new users of canagliflozin","5432;5433","Heart failure;BKLE amputation","43526465;45774751","canagliflozin","empagliflozin","not required","no restrictions",TRUE
5364,"new users of empagliflozin with established cardiovascular disease",5361,"new users of canagliflozin with established cardiovascular disease","5432;5433","Heart failure;BKLE amputation","43526465;45774751","canagliflozin","empagliflozin","required","no restrictions",TRUE
5365,"new users of dapagliflozin",5357,"new users of canagliflozin","5432;5433","Heart failure;BKLE amputation","43526465;44785829","canagliflozin","dapagliflozin","not required","no restrictions",TRUE
5366,"new users of dapagliflozin with established cardiovascular disease",5361,"new users of canagliflozin with established cardiovascular disease","5432;5433","Heart failure;BKLE amputation","43526465;44785829","canagliflozin","dapagliflozin","required","no restrictions",TRUE
5367,"new users of empagliflozin or dapagliflozin",5357,"new users of canagliflozin","5432;5433","Heart failure;BKLE amputation","43526465;44785829;45774751","canagliflozin","empagliflozin or dapagliflozin","not required","no restrictions",TRUE
5368,"new users of empagliflozin or dapagliflozin with established cardiovascular disease",5361,"new users of canagliflozin with established cardiovascular disease","5432;5433","Heart failure;BKLE amputation","43526465;44785829;45774751","canagliflozin","empagliflozin or dapagliflozin","required","no restrictions",TRUE
5369,"new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA",5357,"new users of canagliflozin","5432;5433","Heart failure;BKLE amputation","43526465;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766","canagliflozin","any DPP-4 inhibitor, GLP-1 agonist, or other select AHA","not required","no restrictions",TRUE
5369,"new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA",5367,"new users of empagliflozin or dapagliflozin","5432;5433","Heart failure;BKLE amputation","44785829;45774751;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766","empagliflozin or dapagliflozin","any DPP-4 inhibitor, GLP-1 agonist, or other select AHA","not required","no restrictions",TRUE
5370,"new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with established cardiovascular disease ",5368,"new users of empagliflozin or dapagliflozin with established cardiovascular disease","5432;5433","Heart failure;BKLE amputation","44785829;45774751;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766","empagliflozin or dapagliflozin","any DPP-4 inhibitor, GLP-1 agonist, or other select AHA","required","no restrictions",TRUE
5370,"new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with established cardiovascular disease ",5361,"new users of canagliflozin with established cardiovascular disease","5432;5433","Heart failure;BKLE amputation","43526465;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766","canagliflozin","any DPP-4 inhibitor, GLP-1 agonist, or other select AHA","required","no restrictions",TRUE
5371,"new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA",5357,"new users of canagliflozin","5432;5433","Heart failure;BKLE amputation","43526465;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766;1560171;1502905;1559684;1525215;1597756;1550023;1567198;1596977;1547504;1516976;1544838;1594973;1502809;1502855;35602717;19097821;19059796;19033498;19001441;19001409;1530014;1515249","canagliflozin","any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA","not required","no restrictions",TRUE
5371,"new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA",5367,"new users of empagliflozin or dapagliflozin","5432;5433","Heart failure;BKLE amputation","44785829;45774751;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766;1560171;1502905;1559684;1525215;1597756;1550023;1567198;1596977;1547504;1516976;1544838;1594973;1502809;1502855;35602717;19097821;19059796;19033498;19001441;19001409;1530014;1515249","empagliflozin or dapagliflozin","any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA","not required","no restrictions",TRUE
5372,"new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with established cardiovascular disease",5361,"new users of canagliflozin with established cardiovascular disease","5432;5433","Heart failure;BKLE amputation","43526465;43013884;40239216;40166035;1580747;19122137;44816332;45774435;1583722;40170911;44506754;1529331;40164162;40164161;40164163;1510202;1502826;1516766;1560171;1502905;1559684;1525215;1597756;1550023;1567198;1596977;1547504;1516976;1544838;1594973;1502809;1502855;35602717;19097821;19059796;19033498;19001441;19001409;1530014;1515249","canagliflozin","any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA","required","no restrictions",TRUE
